Streptopelia_turtur,Turturikyyhky
Streptopelia_orientalis,Idänturturikyyhky
Clamator_glandarius,Harakkakäki
Cuculus_canorus,Käki
Cuculus_saturatus,Idänkäki
Tyto_alba,Tornipöllö
Otus_scops,Kyläpöllönen
Bubo_bubo,Huuhkaja
Bubo_scandiacus,Tunturipöllö
Surnia_ulula,Hiiripöllö
Glaucidium_passerinum,Varpuspöllö
Athene_noctua,Minervanpöllö
Strix_aluco,Lehtopöllö
Strix_uralensis,Viirupöllö
Strix_nebulosa,Lapinpöllö
Asio_otus,Sarvipöllö
Asio_flammeus,Suopöllö
Aegolius_funereus,Helmipöllö
Caprimulgus_europaeus,Kehrääjä
Hirundapus_caudacutus,Piikkipyrstökiitäjä
Apus_apus,Tervapääsky
Apus_pallidus,Vaaleakiitäjä
Tachymarptis_melba,Alppikiitäjä
Apus_caffer,Häätökiitäjä
Alcedo_atthis,Kuningaskalastaja
Merops_apiaster,Mehiläissyöjä
Merops_persicus,Vihermehiläissyöjä
Coracias_garrulus,Sininärhi
Upupa_epops,Harjalintu
Jynx_torquilla,Käenpiika
Picus_canus,Harmaapäätikka
Picus_viridis,Vihertikka
Dryocopus_martius,Palokärki
Dendrocopos_major,Käpytikka
Dendrocopos_medius,Tammitikka
Dendrocopos_leucotos,Valkoselkätikka
Dendrocopos_minor,Pikkutikka
Picoides_tridactylus,Pohjantikka
Melanocorypha_calandra,Arokiuru
Melanocorypha_bimaculata,Ylänkökiuru
Melanocorypha_leucoptera,Valkosiipikiuru
Melanocorypha_yeltoniensis,Mustakiuru
Calandrella_brachydactyla,Lyhytvarvaskiuru
Calandrella_rufescens,Pikkukiuru
Galerida_cristata,Töyhtökiuru
Lullula_arborea,Kangaskiuru
Alauda_arvensis,Kiuru
Eremophila_alpestris,Tunturikiuru
Riparia_riparia,Törmäpääsky
Ptyonoprogne_rupestris,Kalliopääsky
Hirundo_rustica,Haarapääsky
Delichon_urbicum,Räystäspääsky
Cecropis_daurica,Ruostepääsky
Anthus_richardi,Isokirvinen
Anthus_godlewskii,Mongoliankirvinen
Anthus_campestris,Nummikirvinen
Anthus_hodgsoni,Taigakirvinen
Anthus_trivialis,Metsäkirvinen
Anthus_gustavi,Tundrakirvinen
Anthus_pratensis,Niittykirvinen
Anthus_cervinus,Lapinkirvinen
Anthus_petrosus,Luotokirvinen
Motacilla_flava,Keltavästäräkki
Motacilla_citreola,Sitruunavästäräkki
Motacilla_cinerea,Virtavästäräkki
Motacilla_alba,Västäräkki
Bombycilla_garrulus,Tilhi
Cinclus_cinclus,Koskikara
Troglodytes_troglodytes,Peukaloinen
Prunella_modularis,Rautiainen
Prunella_montanella,Taigarautiainen
Prunella_atrogularis,Mustakurkkurautiainen
Prunella_collaris,Alppirautiainen
Cercotrichas_galactotes,Ruostepyrstö
Erithacus_rubecula,Punarinta
Luscinia_luscinia,Satakieli
Luscinia_megarhynchos,Etelänsatakieli
Luscinia_svecica,Sinirinta
Calliope_calliope,Rubiinisatakieli
Tarsiger_cyanurus,Sinipyrstö
Phoenicurus_ochruros,Mustaleppälintu
Phoenicurus_phoenicurus,Leppälintu
Saxicola_rubetra,Pensastasku
Saxicola_caprata,Nokitasku
Saxicola_maurus,Sepeltasku
Saxicola_rubicola,Mustapäätasku
Oenanthe_isabellina,Arotasku
Oenanthe_oenanthe,Kivitasku
Oenanthe_pleschanka,Nunnatasku
Oenanthe_hispanica,Rusotasku
